ID;Labels
D2-126;Human
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;Human
D2-131;Human
D2-132;Human
D2-133;Human
D2-134;Human
D2-135;Human
D2-136;Human
D2-137;Human
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;Human
D2-143;Human
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Meta
D3-80;Human
D3-81;Human
D3-82;Human
D3-83;Human
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;Human
D3-88;Human
D3-89;Human
D3-90;Human
D3-91;Human
D3-92;Human
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;Human
D3-97;Human
D3-98;Human
D3-99;Human
D3-100;Human
D4-1;Human
D4-2;Human
D4-3;Human
D4-4;Human
D4-5;Human
D4-6;Human
D4-7;Human
D4-8;Human
D4-9;Human
D4-10;Human
D4-11;Human
D4-12;Human
D4-13;Human
D4-14;Human
D4-15;Human
D4-16;Human
D4-17;Human
D4-18;Human
D4-19;Human
D4-20;Human
D4-21;OpenAI
D4-22;Anthropic
D4-23;Anthropic
D4-24;Human
D4-25;Human
D4-26;Anthropic
D4-27;Anthropic
D4-28;Human
D4-29;Human
D4-30;Human
D4-31;Human
D4-32;Human
D4-33;Human
D4-34;Human
D4-35;Human
D4-36;Human
D4-37;Anthropic
D4-38;Human
D4-39;Anthropic
D4-40;Anthropic
D4-41;Anthropic
D4-42;Human
D4-43;Human
D4-44;Human
D4-45;Human
D4-46;Human
D4-47;Human
D4-48;Human
D4-49;Anthropic
D4-50;Human
D4-51;Human
D4-52;Anthropic
D4-53;Human
D4-54;Human
D4-55;Human
D4-56;Human
D4-57;Human
D4-58;Human
D4-59;Anthropic
D4-60;Human
D4-61;Human
D4-62;Human
D4-63;Human
D4-64;Human
D4-65;Human
D4-66;Human
D4-67;Human
D4-68;Human
D4-69;Human
D4-70;Human
D4-71;Human
D4-72;Human
D4-73;Anthropic
D4-74;Human
D4-75;Human
D4-76;Human
D4-77;Human
D4-78;Human
D4-79;Human
D4-80;Human
D4-81;Human
D4-82;Human
D4-83;Human
D4-84;Human
D4-85;Human
D4-86;OpenAI
D4-87;OpenAI
D4-88;Human
D4-89;Human
D4-90;Human
D4-91;Human
D4-92;Human
D4-93;Human
D4-94;Human
D4-95;Human
D4-96;Human
D4-97;Human
D4-98;Anthropic
D4-99;Human
D4-100;Human
